StationID,Station,VisitDate,Time,Test,Symbol,Stratum,Result,Depth,Lab,FieldID
2,South Lake B,10/14/2009,1120,Chloride,,U,27.1,2,VT,200942482
2,South Lake B,4/7/2010,1120,Chloride,,U,11.5,2,VT,201042103
2,South Lake B,5/3/2010,1135,Chloride,,U,13.6,2,VT,201042142
2,South Lake B,5/13/2010,1120,Chloride,,U,14.1,2,VT,201042158
2,South Lake B,5/25/2010,1240,Chloride,,U,13.5,COM,VT,201041510
2,South Lake B,5/26/2010,1125,Chloride,,U,14.9,2,VT,201042176
2,South Lake B,6/11/2010,1130,Chloride,,U,18.4,COM,VT,201041537
2,South Lake B,6/15/2010,1050,Chloride,,U,18.2,2,VT,201042200
2,South Lake B,6/25/2010,1045,Chloride,,U,17.5,COM,VT,201041561
2,South Lake B,7/7/2010,1135,Chloride,,U,18.8,2,VT,201042244
2,South Lake B,7/14/2010,1045,Chloride,,U,17.9,COM,VT,201041580
2,South Lake B,7/22/2010,1105,Chloride,,U,18.4,2,VT,201042270
2,South Lake B,7/26/2010,1100,Chloride,,E,18.7,COM,VT,201041600
2,South Lake B,8/9/2010,1130,Chloride,,U,18.3,2,VT,201042308
2,South Lake B,8/12/2010,1300,Chloride,,U,18.2,COM,VT,201041635
2,South Lake B,8/23/2010,1110,Chloride,,U,21.1,COM,VT,201042351
2,South Lake B,8/26/2010,1210,Chloride,,U,23.1,COM,VT,201041657
2,South Lake B,9/2/2010,1115,Chloride,,U,18.9,2,VT,201042391
2,South Lake B,9/8/2010,1125,Chloride,,U,22.4,2,VT,201041667
2,South Lake B,9/23/2010,1120,Chloride,,U,26.8,2,VT,201042427
2,South Lake B,10/14/2010,1220,Chloride,,U,16,COM,VT,201041706
2,South Lake B,5/10/2011,1105,Chloride,,U,13.4,2,VT,201142256
2,South Lake B,6/7/2011,1055,Chloride,,U,12.1,COM,VT,201142324
2,South Lake B,6/13/2011,1218,Chloride,,U,13.7,COM,VT,201141314
2,South Lake B,6/21/2011,1328,Chloride,,U,14.9,COM,VT,201141334
2,South Lake B,6/21/2011,1115,Chloride,,U,14.7,COM,VT,201142344
2,South Lake B,7/5/2011,1130,Chloride,,U,17.1,2,VT,201142367
2,South Lake B,7/15/2011,1145,Chloride,,U,16.4,2,VT,201141362
2,South Lake B,7/19/2011,1110,Chloride,,U,16.7,2,VT,201142393
2,South Lake B,7/28/2011,1412,Chloride,,U,17.1,COM,VT,201141388
2,South Lake B,8/11/2011,1125,Chloride,,U,20.3,2,VT,201142463
2,South Lake B,8/12/2011,1330,Chloride,,U,20.4,2,VT,201141414
2,South Lake B,8/19/2011,1150,Chloride,H,U,20.9,COM,VT,201141421
2,South Lake B,8/22/2011,1120,Chloride,,U,17.3,2,VT,201142482
2,South Lake B,9/14/2011,1135,Chloride,H,U,9.6,2,VT,201142554
2,South Lake B,9/27/2011,1100,Chloride,H,U,14.4,2,VT,201142569
2,South Lake B,9/28/2011,1215,Chloride,H,U,14.9,2,VT,201141469
2,South Lake B,10/19/2011,1055,Chloride,H,U,15.6,2,VT,201142631
